CAS,Element,Mass,Dipole Moment,Polarizability,PA,IE
87-40-1,"2,4,6-trichloroanisole",211.47,1.57,18.3618,183.51,8.87
607-99-8,"2,4,6-tribromoanisole",344.83,1.54,22.1138,186.17,8.67
87-86-5,Pentachlorophenol,266.34,1.78,20.3273,167.15,8.76
608-71-9,Pentabromophenol,488.59,1.55,26.1441,174.17,8.75
88-06-2,"2,4,6-trichlorophenol",197.45,1.47,16.5319,174.35,9.03
118-79-6,"2,4,6-tribromophenol",330.8,1.40,20.2875,178.56,8.81
54135-80-7,"2,3,4-trichloroanisole",211.47,4.42,18.384,181.32,8.36
50375-10-5,"2,3,6-trichloroanisole",211.47,1.91,18.2082,183.87,8.83
938-86-3,"2,3,4,5-tetrachloroanisole",245.91,3.75,20.4157,178.4,8.44
938-22-7,"2,3,4,6-tetrachloroanisole",245.91,2.00,20.2719,181.96,8.85
6936-40-9,"2,3,5,6-tetrachloroanisole",245.91,1.61,20.279,181.49,8.85
553-82-2,"2,4-dichloroanisole",177.03,3.40,16.5512,182.77,8.26
1984-65-2,"2,6-dichloroanisole",177.03,2.04,16.2137,186.69,8.96
65767-22-8,"Cis-1,5-octadien-3-one",124.18,3.02,15.2005,211.13,8.7
50306-18-8,"Cis-1,5-octadien-3-ol",126.2,2.00,15.6403,200.87,8.72
3391-86-4,1-octene-3-ol,128.22,1.44,15.3933,197.68,9.37
4312-99-6,1-octene-3-one,126.2,3.16,14.6985,203.94,9.23
124-13-0,Octanal,128.21,3.33,14.845,192.82,9.38
24168-70-5,2-sec-butyl-3-methoxypyrazine,166.22,1.33,18.4263,215.84,8.53
24683-00-9,3-isobutyl-2-methoxypyrazine,166.22,1.41,18.3829,215.77,8.51
25773-40-4,2-isopropyl-3-methoxypyrazine,152.19,1.38,16.7422,215.39,8.56
92508-08-2,"2-methoxy-3,5-dimethylpyrazine",138.17,1.13,15.103,217.16,8.32
2371-42-8,2-methylisoborneol,168.28,1.53,18.7068,217.79,9.21
